,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
0,0,0,0,12,21,22,26,0.8604328052995035,7,11,18,26,0.5690071620441192,8,15,16,23,0.4284976564452285,8,10,13,19,0.6112242271566006,1,20,23,25,0.5076913578570736,14,16,17,24,0.614074877426495,1,7,16,17,0.8942062503489893,9,11,15,17,0.3517968582607959,1,7,11,14,0.5143311507765346,20,23,29,30,0.6565425138066348,20,11,8,9,-0.974106837845468
1,1,1,1,1,7,10,14,0.9630080795289506,1,8,12,15,0.3306488723722748,7,11,14,19,0.6343831635039892,1,8,11,12,-0.5780541327732465,1,9,11,20,0.2052548598071814,8,11,17,33,-0.3900554659957609,11,25,26,39,-0.4964907266301976,4,5,16,35,0.1794881127389648,10,14,16,19,0.8402410314369958,5,7,8,11,-0.5410516192808432,20,11,8,9,-0.9590969018669484
2,2,2,2,1,3,15,22,0.5509233585863837,8,11,23,25,-1.0760169922515654,16,23,26,30,0.8785888960072998,5,11,25,33,0.2175964784818747,1,9,17,18,0.8363479058976507,14,16,20,31,0.6482778838543917,8,10,11,17,-0.5326016677970054,1,9,17,20,0.8231845068219512,2,9,18,26,0.95420476286016,11,16,21,25,-0.6524862868523962,20,11,8,9,-0.9622811700555252
3,3,3,3,1,9,12,14,0.8532476333293448,5,8,9,23,0.5726706289708698,18,29,39,43,0.5572630422623099,1,13,17,23,0.9713055980081504,9,11,14,21,0.1409479672871585,6,7,12,20,0.8325796641768044,9,14,17,19,0.8377742123526469,16,21,23,32,0.2624653560607537,8,16,20,30,-0.3299111440151745,1,9,16,18,0.8409706030191146,20,11,8,9,-0.9602588029704209
4,4,4,4,4,10,15,16,0.3956677966996323,4,15,16,29,0.4436893185498617,9,17,43,46,0.9240417497209656,1,8,16,18,0.2820713373262604,10,16,24,26,0.9505017315022736,1,7,16,24,0.9886537727355243,9,29,30,34,0.8334420394626355,5,14,16,17,0.6981275378217531,11,13,18,23,0.6010447763342643,1,7,9,14,0.9666718710258692,20,11,8,9,-0.9776571200030464
5,5,5,5,17,18,25,26,0.6544862214775125,9,11,23,25,0.1577179125100181,11,19,25,26,0.2658632720238942,28,29,40,44,-0.2864740122271163,11,16,17,20,-0.0412803995672423,2,9,12,17,0.8207309977988764,8,11,16,23,-0.4285477616301278,7,8,9,24,0.6210040277226653,8,16,17,25,-0.2055878970392668,7,8,9,13,0.6290094861552042,20,11,8,9,-0.9635706362505099
6,6,6,6,7,16,20,21,0.5956568584632158,1,2,5,7,0.8800532789038479,3,9,16,30,0.1587996030412863,12,16,20,21,0.4178443080195162,1,8,9,16,0.4952636796913987,10,11,15,17,0.3421286419532603,1,5,8,13,0.6199429561989189,2,7,8,11,-0.3412274981128704,8,20,24,25,-0.2061568067349477,5,7,28,54,0.5485483972176821,20,11,8,9,-0.9784248821069768
7,7,7,7,20,29,36,42,0.8183652502170677,5,6,11,21,0.0724012017600614,33,43,45,49,0.626738500078901,12,19,27,30,0.3646466131175149,9,13,14,17,0.813001480797269,1,16,20,24,0.8881326639000824,1,7,8,11,-0.5067126000285536,1,9,16,20,0.8223808977442423,9,10,11,16,0.40252963823459,1,5,11,23,0.5539414173084535,20,11,8,9,-0.9829302200944723
8,8,8,8,15,20,23,26,0.9206390375685995,8,27,38,40,-0.8023033540417686,1,5,11,17,0.5169243955123143,1,8,9,25,0.0316180682872225,2,10,17,23,0.953818935240796,1,2,7,9,0.9172642134145882,7,8,9,11,-0.434430966448408,1,9,14,24,0.9230955475126036,9,14,16,17,0.6549135008625341,1,8,9,14,0.5016520548658565,20,11,8,9,-0.9697560241851666
9,9,9,9,2,8,11,13,-0.2588727954270651,13,23,27,32,0.0156476608035658,3,8,13,16,-0.4511489300836768,1,11,13,14,0.503501385887952,9,11,17,23,0.5869785440317099,2,7,8,9,0.6247254792612627,8,23,31,61,0.2369915195537687,7,8,11,20,-1.003501078637639,8,29,38,46,0.6994649822368029,1,4,5,7,0.4430070764149779,20,11,8,9,-0.9802794603880711
10,10,10,10,25,31,33,34,0.7530542495473741,9,13,28,29,0.7410995879734232,9,12,14,21,0.720593348983238,19,27,34,47,0.3977598322752326,1,8,14,24,0.6054438379360222,7,17,18,24,0.9156977435510496,17,33,37,47,0.4737621974481688,11,14,19,24,0.6751042324947905,7,8,9,17,0.5818128949544308,1,9,11,14,0.4909289874020932,20,11,8,9,-0.9664220967844743
11,11,11,11,18,20,21,36,0.6201680528648695,1,4,10,12,0.5129599896006956,3,5,7,11,-0.5427591498892013,10,19,24,25,0.7269244224800311,8,9,16,33,0.5845823033812053,19,20,23,26,0.90104590986066,9,11,16,22,0.5432493671359548,1,7,11,17,0.4999761474591755,7,19,26,27,0.7110751042199662,7,8,9,16,0.5790655348401195,20,11,8,9,-0.9809725277159895
12,12,12,12,2,8,11,22,-0.2553806831074876,17,18,28,31,0.3708447562145427,1,9,25,26,0.7097227748280026,1,7,9,10,0.7274897338773241,7,12,16,23,0.9241765019788118,4,8,16,28,-1.90492266422443,9,14,19,28,0.6585197435041785,7,8,9,20,0.2527457043957896,2,7,8,11,-0.340223857861891,1,7,8,18,0.5153431668539482,20,11,8,9,-0.9778673014939647
13,13,13,13,1,2,8,11,-0.3792573786241453,9,33,34,42,0.915258522871206,6,8,23,24,0.6634120399170454,8,9,11,23,-0.3439102104127773,1,8,9,11,-0.4985406161013579,7,8,9,20,0.2527513628133201,6,9,16,17,0.9421419256385948,1,7,11,16,0.5079986856847876,18,24,26,28,0.7720942602674615,21,29,30,32,-0.2746953840389317,20,11,8,9,-0.9780561203874343
14,14,14,14,6,24,39,48,0.2735126244973094,6,9,17,18,0.9360434765700706,23,26,29,36,0.8732378858734036,20,29,32,34,0.4160740537098476,7,17,26,35,0.8305925402841742,8,17,21,25,-0.6615633701239578,5,7,11,14,0.4852235237672946,5,8,25,26,0.1257187939507116,14,16,17,18,0.1827004435572213,1,9,11,14,0.4853489255551684,20,11,8,9,-0.9757667320914285
15,15,15,15,4,9,10,26,0.4404250966012574,7,9,13,14,0.9826052641120548,11,16,23,26,0.6420191807544201,8,9,23,26,0.6242468987569096,1,7,9,25,0.686094245784368,1,9,19,26,0.8284234630292618,4,8,11,16,-2.273040865435668,1,15,16,23,0.8836685048321373,5,16,19,30,0.8871808763248905,1,5,7,8,0.4411901251859186,20,11,8,9,-0.9685118839738014
16,16,16,16,2,3,5,15,0.6086316867097542,9,23,26,28,0.7006773092236934,11,20,23,28,-0.6281649552009547,12,18,30,39,0.2597909060488703,5,8,11,13,-0.3283172316835356,8,14,28,30,-0.9617138101925868,1,5,8,11,-0.4881503476598587,8,16,20,25,-0.4845856373246251,1,7,9,14,0.966841732693322,5,8,11,16,-0.5323442483072083,20,11,8,9,-0.9777357741161561
17,17,17,17,1,15,25,37,0.2539425912084865,2,5,9,20,0.8755716911441009,6,7,8,15,0.4884702278668174,7,20,25,48,-0.4143114083305179,5,21,23,44,0.445769107592274,1,16,17,20,0.6893993805414014,8,11,19,26,-0.2090029350597164,1,17,20,23,0.878593849119724,7,9,11,14,0.5704788918023485,1,8,9,11,-0.4988953884853551,20,11,8,9,-0.9786261501111555
18,18,18,18,16,17,25,36,0.6468049443253115,5,9,11,16,0.5747374500256435,3,10,13,19,0.6172461514537745,1,17,20,33,0.8818801928475084,4,5,16,17,0.4184327958638568,7,8,9,32,-0.3765325222135791,1,8,26,29,0.6399854778466485,11,24,25,30,-0.3779878481579515,8,9,16,17,0.3700686181522774,8,9,14,16,0.3812751285614991,20,11,8,9,-0.9785934583743248
19,19,19,19,3,16,24,25,0.1839382257249333,8,11,12,35,-1.236498966732618,3,13,17,26,0.6447715771196633,7,8,9,17,0.5808047213836152,9,14,16,17,0.6560133968399673,8,9,11,12,-0.5090490861599668,5,17,23,25,0.7802469556802949,1,8,16,17,0.2988168257015047,1,7,20,23,0.820264828477043,9,14,16,20,0.7588746401052774,20,11,8,9,-0.9684883284029371
20,20,20,20,20,23,30,32,-0.1214615342371667,14,15,21,32,-0.0369134689490291,5,6,14,17,0.8988360487218311,1,3,5,9,0.528981617730095,2,9,14,16,0.8204293554289798,5,8,11,20,-0.9694361318203965,7,10,12,25,0.7896890610796833,11,23,61,27,-0.8003918736765512,1,7,9,14,0.9653889959151865,7,9,14,20,0.8944718765273019,20,11,8,9,-0.9665852284278054
21,21,21,21,13,29,34,37,0.8598928485166113,1,8,26,29,0.6422024028941766,10,14,19,29,0.916772856473558,5,17,24,30,0.8882939323908142,1,8,27,43,-0.5521938873299597,7,9,20,24,0.8428597935720864,1,9,11,20,0.199390972328449,7,8,9,29,0.5596709765542969,8,16,19,20,0.310928187657419,9,16,17,20,0.7517974985482524,20,11,8,9,-0.9716862514221045
22,22,22,22,14,20,35,42,0.2254686636011575,1,8,11,13,-0.3694656813721575,1,3,20,24,0.3828739514411038,1,9,14,20,0.8244517718408244,9,14,17,23,0.9060634904366256,7,15,29,35,0.8351014944741866,1,9,24,26,0.8760143758471914,11,14,16,26,0.4147065683882374,20,23,24,26,0.917958063683506,9,11,17,18,0.3443722629692274,20,11,8,9,-0.9711881746838253
23,23,23,23,2,10,14,16,0.8158298392203662,9,11,16,17,0.3447788200205528,2,6,9,10,0.7880655657108682,1,7,12,21,0.8076747398910502,6,11,13,21,0.2535715407430113,8,9,16,17,0.3668137756659653,3,7,11,14,-0.5112974360384035,8,9,14,16,0.3780498304755186,8,16,18,33,0.4074780897884072,8,9,17,20,0.2065856947005698,20,11,8,9,-0.9855721014059622
24,24,24,24,5,8,14,16,0.4030882300303064,1,2,15,18,0.7719880446821125,1,7,16,20,0.8581777119259906,1,9,11,12,0.4866000061497686,1,9,10,11,0.3400826919918921,8,9,11,18,-0.5557736053086524,7,8,9,17,0.5720708093213708,8,9,20,24,0.3541570421007923,8,9,11,14,-0.5393931347868222,8,9,11,26,-0.35131782823281,20,11,8,9,-0.9863171366074357
25,25,25,25,7,14,40,52,0.8090259393929974,16,24,26,32,0.7068031965909387,1,17,26,59,0.7878139118338898,1,8,10,16,0.4873829859610494,5,7,9,10,0.6937853674787728,5,9,10,11,0.4144257930382912,8,15,17,23,0.4055992589392878,1,8,17,21,0.0528377455317005,9,11,20,24,0.3478790282672079,8,16,20,23,0.2824946871990292,20,11,8,9,-0.9854379041751982
26,26,26,26,2,3,18,28,-0.2551470443238997,8,11,14,15,-0.8806354717593197,3,5,12,14,0.4448363568650859,15,20,21,25,-0.0833643930794554,1,5,23,26,0.8560669268875001,7,14,17,28,0.5286342423388513,9,30,31,37,0.452561115373128,1,7,9,11,0.5102346716031753,7,8,16,26,0.5820108750944191,4,7,9,11,-0.4228248715505502,20,11,8,9,-0.9848652656843881
27,27,27,27,8,9,12,20,0.2193129757266385,9,15,17,21,0.695155329155751,7,9,15,29,0.970513668761532,20,25,30,35,-0.7890694574158108,1,9,10,20,0.6311538040435903,1,8,9,29,0.564093280759988,11,17,20,25,-0.5259844311576929,9,11,42,44,-0.1122565293415691,1,7,14,17,0.8895398126130644,9,16,24,25,0.7785184702152514,20,11,8,9,-0.9873409611366866
28,28,28,28,7,8,23,29,0.5655251962475749,12,16,20,29,0.7962430390738178,17,22,24,27,0.730912079156173,8,23,26,29,0.6656669981155758,1,9,16,25,0.7001269777134307,6,18,21,29,0.8412632322476987,5,8,13,14,0.5994530260229713,9,11,16,17,0.3529840162181964,8,9,11,23,-0.3453505734100162,8,9,14,17,0.377792355440478,20,11,8,9,-0.9787980293290297
29,29,29,29,2,4,5,11,-0.3135891906621468,1,4,10,13,0.5797315488193533,9,16,23,25,0.783532223163386,9,27,39,45,-0.3674801964880154,5,9,16,27,0.6883370333797993,1,8,9,11,-0.5072744188489418,16,17,31,32,0.2840099980466052,1,13,14,16,0.7846490061212948,9,11,17,20,0.189227948841292,1,8,9,11,-0.5072744188489418,20,11,8,9,-0.9884329824695637
30,30,30,30,6,13,21,24,0.893854363721494,5,7,9,10,0.6885817615289409,4,5,8,21,-1.059058662056398,2,18,21,22,0.777656472489537,8,20,23,24,0.4599272857274031,9,14,33,34,0.9006373070933286,8,11,16,21,-1.2644099180954438,8,11,13,14,-0.5168680836956532,5,7,9,11,0.4642997734445448,11,14,20,22,0.2130467540389325,20,11,8,9,-0.9849385456184137
31,31,31,31,2,3,14,16,0.3449608952248049,21,24,29,30,0.6157085290805755,3,9,26,37,0.2269726748054003,1,24,25,26,0.8034257769235156,5,15,17,24,0.9151626300457372,1,8,20,29,0.3034174620872885,5,8,17,19,0.6304667998272231,7,22,35,41,0.6104168819110805,9,10,11,24,0.4327652487714895,1,9,11,26,0.5584624987556057,20,11,8,9,-0.9859945782153496
32,32,32,32,14,18,25,45,0.1097210003040928,14,22,28,40,0.2474238231918814,1,5,9,13,0.9225055784438182,11,16,19,23,0.6545130560873975,1,8,12,29,0.5772530039294368,5,16,18,19,0.9309809871769704,1,7,8,9,0.5141761398855451,1,2,9,23,0.9184755483843192,8,14,16,18,-0.0304026709667688,9,17,19,20,0.8363085868527044,20,11,8,9,-0.9833815904072711
33,33,33,33,3,9,17,54,0.2751820555082747,1,2,6,9,0.917501759818435,5,7,10,16,0.9418732538763472,1,7,8,13,0.6162601636342808,7,8,9,39,0.1535925419436549,8,10,11,14,-0.5292709988432089,9,14,30,42,0.6533229090903521,11,25,28,51,-0.9498526348224594,7,9,16,23,0.9680453588819682,7,8,14,16,0.41646611156447,20,11,8,9,-0.9723362005947855
34,34,34,34,7,11,13,28,-0.149289222886892,1,4,35,39,-0.5280497091954517,8,11,13,21,-0.995578604275754,9,20,26,28,0.4234992309655139,11,16,17,18,-0.0962278598063375,1,5,8,14,0.5233966790851251,5,7,20,24,0.7914634546085904,1,5,9,20,0.8019965062765673,1,5,9,26,0.859814726430014,8,16,17,19,0.4040405372352951,20,11,8,9,-0.991137763849788
35,35,35,35,3,7,8,15,-0.4979495348292151,3,19,30,31,0.323298136365497,1,7,14,16,0.8937344519627782,21,24,35,46,0.6341642215980031,5,8,11,12,-0.5302109806863942,1,8,11,18,-0.6525145556496166,9,11,19,20,0.2753498744855671,9,11,23,30,0.2342096056126912,5,20,25,26,0.4938998852435257,1,11,14,20,0.1318912734834258,20,11,8,9,-0.9894372885438116
36,36,36,36,6,29,31,32,0.6696588534021778,6,8,9,14,0.5869274131051679,20,23,32,38,0.3933062673368978,8,12,17,23,0.436490386718747,5,7,8,9,0.4692866541448321,19,20,30,35,0.2047766920932179,9,11,20,29,0.3103194943518739,1,8,9,14,0.4995985348039957,21,26,29,37,0.5234010388315504,1,8,16,20,0.1636966098814789,20,11,8,9,-0.9745938378163972
37,37,37,37,2,6,7,15,0.9341662733357105,17,20,28,31,0.3042314513738733,16,25,30,33,0.4244790804959352,4,25,26,28,-0.8417875122050107,1,2,8,16,0.5128855257382563,1,13,16,30,0.7762578812222776,1,8,9,16,0.4913649874968687,8,11,14,29,-0.455911101441369,8,11,14,17,-0.894285691373909,7,8,9,16,0.5762856482390301,20,11,8,9,-0.986938019091379
38,38,38,38,2,3,9,14,0.5719799813403283,8,20,23,25,-0.2963705336173494,1,8,13,23,0.6730784456479313,2,26,28,31,0.7905222970234869,1,4,8,9,-0.464461372399404,9,16,17,20,0.7445418717736281,7,8,9,11,-0.4461804092184653,1,9,11,12,0.487068734102927,4,8,9,12,-0.4747121459225445,1,8,9,20,0.2021305627337981,20,11,8,9,-0.984960732682626
39,39,39,39,1,9,15,16,0.8442199806824933,2,4,12,18,0.3464680628722613,3,7,26,34,0.6498479797675804,9,10,16,21,0.6869967797923302,2,5,8,9,0.6301356502832509,1,8,9,17,0.4917302472263711,7,20,23,25,0.4925636990423347,5,9,11,14,0.5776516918268852,1,6,8,11,-0.4907654615968866,9,11,17,37,0.1023777487903233,20,11,8,9,-0.9773461708702902
40,40,40,40,7,27,41,44,-0.0912655813275944,2,16,19,21,0.8450183960732589,8,9,11,13,-0.3491112572748351,7,29,39,44,0.3827195756105837,6,9,14,23,0.9717665567019294,23,24,31,37,0.8886436666656601,9,17,20,21,0.5718078918929477,11,14,24,25,0.1293814640499333,1,8,11,16,-0.6360395313312877,8,9,11,16,-0.5445934153723524,20,11,8,9,-0.9882867824268744
41,41,41,41,9,11,12,15,0.3603446843234572,1,11,14,18,0.2498630920537815,11,14,23,35,0.1710221134157376,19,24,26,30,0.8971393889612091,16,26,33,35,0.8853474010127227,5,8,10,14,0.5780917516924311,1,9,14,17,0.8386558242269886,8,14,28,37,-1.0061680082374282,9,11,16,23,0.5870774180381855,1,7,14,17,0.8891989246116263,20,11,8,9,-0.9915483093623743
42,42,42,42,11,19,20,28,-0.5925894832503102,2,14,16,21,0.6356475942999656,1,2,11,14,0.5060314323467421,7,23,28,35,0.3077291917729012,14,22,24,27,0.7350113749071416,8,9,20,27,-0.7299707431977471,7,9,11,16,0.5676232834874668,1,11,17,24,0.5734052213462228,1,11,23,26,0.63259626847954,1,14,33,37,0.8219735438184042,20,11,8,9,-0.9827027700621196
43,43,43,43,1,13,14,26,0.9710981147737168,7,8,9,11,-0.4439971692642941,1,13,18,20,0.8325437766868815,5,11,17,33,0.6269412669534167,1,10,13,20,0.8302689141269234,6,39,44,54,0.2041365068797405,1,5,8,14,0.5314835572358583,1,5,8,11,-0.4894434240233902,5,7,8,11,-0.5645451416099894,9,11,17,19,0.538915688388417,20,11,8,9,-0.9818368009763063
44,44,44,44,4,7,11,17,-0.5454330912026224,14,16,24,26,0.8952663468396562,1,6,11,19,0.5950035114799446,5,9,10,11,0.4108445159369696,4,8,9,14,-0.4954228188770426,13,14,16,20,0.676915977745969,9,11,16,23,0.5848119841207213,11,13,16,17,0.2610299215729403,7,9,17,20,0.8880538205891475,11,14,20,26,0.2585218774338547,20,11,8,9,-0.9967553044444106
45,45,45,45,3,9,18,20,0.2187845445237279,13,16,19,23,0.9783541668300832,1,11,13,23,0.6614957863764672,7,26,27,29,0.639161510955828,5,7,11,18,0.4661154500716646,1,5,9,15,0.9675723781435076,1,3,11,16,-0.6014342953917815,7,8,9,11,-0.4524391503559555,6,16,18,20,0.7741418646807163,1,7,8,16,0.5131123442014927,20,11,8,9,-0.9927273837258943
46,46,46,46,12,42,47,49,0.5029590691452134,5,8,12,16,0.4242999305816183,9,16,17,18,0.6371187578892924,14,29,30,37,0.4969844945271641,5,8,16,17,0.4024537398777484,9,11,23,24,0.6577169370866002,1,8,9,14,0.4974713726361464,1,16,20,21,0.5318157632989048,5,9,11,16,0.5756793929394157,1,9,14,20,0.8228016437294671,20,11,8,9,-0.9774980748690616
47,47,47,47,1,9,11,17,0.4779049182323228,32,42,61,17,-0.3119419080711993,7,8,10,11,-0.446337371537191,9,17,22,23,0.9556049722463856,8,16,28,31,-0.3200759213784758,16,20,23,28,0.426083500739298,11,17,20,35,-0.3942689588807484,8,13,18,20,0.2260690590970056,1,20,24,28,0.4824618070745665,7,11,16,17,0.3743195438230903,20,11,8,9,-0.9771194227759583
48,48,48,48,25,30,32,46,-0.3587565130784451,17,34,35,38,0.7969621710073519,7,9,19,20,0.7970911065716747,11,31,55,59,0.1176474463321189,3,14,15,16,0.0412196213395333,8,9,21,48,-1.090678114522354,1,8,9,17,0.4910411212242911,11,33,46,50,0.7416619477549793,7,8,16,20,0.2294142862017076,5,9,11,16,0.575691972788343,20,11,8,9,-0.9777505921240921
49,49,49,49,9,14,21,31,0.7701809625229079,7,11,13,16,0.5620413681264154,1,10,15,20,0.8167334697100332,28,33,35,38,0.4370780916161654,8,27,33,34,-0.0274700374406218,1,14,19,20,0.8733518732144184,10,30,35,37,-0.1215570493827873,1,13,20,24,0.9269065805818998,11,22,29,30,0.3207165943690986,17,19,28,30,0.3435316647992963,20,11,8,9,-0.9946265641346801
50,50,50,50,19,26,42,54,0.8741715807040966,1,8,20,24,0.3614966824358372,1,14,16,28,0.4301406157674331,9,13,14,17,0.8115073591162676,1,9,20,29,0.8206404927055074,8,9,14,17,0.3653323091949489,11,17,25,26,0.0699320182698585,1,8,10,19,0.5160338599476748,1,7,11,24,0.6195485760062016,1,7,8,11,-0.5155847397460465,20,11,8,9,-0.9920126048678504
51,51,51,51,3,4,7,10,-0.4067621529608851,3,11,23,32,-1.868942050465637,1,6,18,23,0.9631535012078856,8,11,12,23,-0.451787824747164,8,14,21,23,0.1969689851917277,3,13,14,15,0.3330268166783861,18,24,25,29,0.8247149673454898,14,16,20,24,0.7654891312096637,16,20,26,33,0.9336239433755128,5,11,14,20,0.205104002100115,20,11,8,9,-0.9950903226509897
52,52,52,52,14,20,30,32,-0.32297533699847,5,8,10,12,0.5804000278309693,5,6,12,13,0.9390902126618073,7,17,31,32,0.567922949437364,8,9,10,11,-0.6106791392085116,1,5,11,14,0.5049831280890564,7,8,9,16,0.5717810334176017,1,22,26,30,0.8573065065784015,8,11,20,24,-0.7853162893376844,5,8,10,16,0.5741218211076673,20,11,8,9,-0.9967573582263343
53,53,53,53,8,9,16,27,-0.3002333006046007,1,2,11,14,0.4940531105083641,1,4,14,17,0.2999295385241055,2,15,21,30,0.4561653266033573,4,7,16,24,0.6465048288563265,13,17,46,47,0.8214796587562454,1,5,13,26,0.9425375139997,8,9,11,14,-0.5466761970354526,9,14,17,28,0.4995609687106174,1,7,8,9,0.5115133157243188,20,11,8,9,-0.9939366756406334
54,54,54,54,12,15,19,26,0.9159746606986916,7,28,32,34,-0.1190272707670041,3,26,27,32,-1.5258476599727944,9,17,24,41,0.926460204794066,13,14,17,20,0.683675858678616,11,14,16,24,0.4079092590745694,11,28,33,37,-0.6933150848699527,7,9,11,14,0.5702427800352559,4,5,7,8,-0.5269752301982638,8,9,16,20,0.2167928063823052,20,11,8,9,-0.9805260518795498
55,55,55,55,26,32,40,50,0.2404318068464596,4,7,9,20,0.2579216625533849,7,10,26,34,0.9242425965661756,36,42,53,26,0.7053327824511735,17,20,21,27,-0.1978226821191124,5,9,11,19,0.5641171921007906,8,17,23,27,-0.2224763809811509,9,11,25,31,0.0984124727561012,9,17,20,24,0.8753903697705586,1,7,14,16,0.8937846101729033,20,11,8,9,-0.9902516955346012
56,56,56,56,7,8,14,18,0.3847088487532644,7,11,15,49,0.5482971578621363,3,6,11,12,-0.4990395312478877,1,5,7,18,0.9145372847356604,11,17,43,45,-0.3838486641350045,7,8,9,27,-0.2325581822665694,11,20,23,29,0.3715916457238133,8,9,17,20,0.203178051376671,17,21,23,24,0.8929107278528436,14,24,25,26,0.8303517433026208,20,11,8,9,-0.9905191973629099
57,57,57,57,2,3,22,23,0.7421906546316729,5,10,11,13,0.6182219543798673,7,23,25,37,0.3314010612509575,6,11,14,16,0.3743293932038465,11,16,17,21,-0.1607667826109526,11,24,30,31,0.32968866678073,8,9,14,16,0.3734462901268287,1,10,11,24,0.5772651129261461,1,14,18,20,0.6844003465467084,8,9,16,24,0.6000405885107449,20,11,8,9,-0.993673750180901
58,58,58,58,4,32,46,47,-0.875443080861845,2,5,7,8,0.5420143188984775,7,9,14,17,0.9415054654682704,10,11,16,17,0.335786826412255,3,8,9,13,-0.3145042114531016,9,13,18,20,0.8447773979383091,14,16,23,40,0.6994527860305895,26,27,34,37,0.3790622380953106,24,26,30,41,0.7214693550582643,5,8,14,17,0.3902410759298613,20,11,8,9,-0.9942329845578566
